Source;Target;Type;Weight;book;Gender
Godry-Farring;Mance-Rayder;undirected;3;5;M
Godry-Farring;Melisandre;undirected;3;5;M
Godry-Farring;Stannis-Baratheon;undirected;9;5;M
Goghor-the-Giant;Hizdahr-zo-Loraq;undirected;5;5;M
Goghor-the-Giant;Khrazz;undirected;4;5;M
Goghor-the-Giant;Spotted-Cat;undirected;6;5;M
Grazhar;Qezza;undirected;5;5;M
Gregor-Clegane;Ilyn-Payne;undirected;3;5;M
Gregor-Clegane;Meryn-Trant;undirected;3;5;M
Gregor-Clegane;Oberyn-Martell;undirected;3;5;M
Gregor-Clegane;Rafford;undirected;3;5;M
Grenn;Pypar;undirected;3;5;M
Grenn;Todder;undirected;3;5;M
Grey-Worm;Hizdahr-zo-Loraq;undirected;3;5;M
Grey-Worm;Irri;undirected;4;5;M
Grey-Worm;Skahaz-mo-Kandaq;undirected;6;5;M
Grimtongue;Hagen;undirected;5;5;M
Grimtongue;Lorren;undirected;5;5;M
Groleo;Hero;undirected;4;5;M
Groleo;Jhogo;undirected;5;5;M
Groleo;Skahaz-mo-Kandaq;undirected;3;5;M
Grunt;Sour-Alyn;undirected;7;5;M
Grunt;Theon-Greyjoy;undirected;3;5;M
Hagen;Lorren;undirected;3;5;M
Hagen;Qarl-the-Maid;undirected;3;5;M
Hagen;Tristifer-Botley;undirected;3;5;M
Haggon;Varamyr;undirected;8;5;M
Hairy-Hal;Jack-Bulwer;undirected;3;5;M
Hairy-Hal;JON;undirected;4;5;M
Haldon;Illyrio-Mopatis;undirected;3;5;M
Haldon;Jon-Connington;undirected;13;5;M
Haldon;Lemore;undirected;4;5;M
Haldon;Pono;undirected;3;5;M
Haldon;Qavo-Nogarys;undirected;5;5;M
Haldon;Rolly-Duckfield;undirected;26;5;M
Haldon;Tyrion-Lannister;undirected;54;5;M
Haldon;Yandry;undirected;4;5;M
Haldon;Ysilla;undirected;5;5;M
Hareth-(Moles-Town);Hop-Robin;undirected;5;5;M
Hareth-(Moles-Town);JON;undirected;10;5;M
Hareth-(Moles-Town);Leathers;undirected;3;5;M
Hareth-(Moles-Town);Rory;undirected;4;5;M
Hareth-(Moles-Town);Satin;undirected;6;5;M
Harl;Lorren;undirected;3;5;M
Harry-Strickland;Jon-Connington;undirected;18;5;M
Harry-Strickland;Myles-Toyne;undirected;4;5;M
Harwood-Stout;Theon-Greyjoy;undirected;5;5;M
Harys-Swyft;Pycelle;undirected;4;5;M
Hero;Jhogo;undirected;8;5;M
High-Sparrow;Kevan-Lannister;undirected;5;5;M
High-Sparrow;Unella;undirected;6;5;M
Hizdahr-zo-Loraq;Irri;undirected;3;5;M
Hizdahr-zo-Loraq;Jhiqui;undirected;3;5;M
Hizdahr-zo-Loraq;Khrazz;undirected;9;5;M
Hizdahr-zo-Loraq;Marghaz-zo-Loraq;undirected;5;5;M
Hizdahr-zo-Loraq;Missandei;undirected;6;5;M
